origID,order,trial,probeNumber,response,mw_response,mw_intent,condition,passage
12533379,Digital first,5,18,On Task,0,NA,Physical,1
12533379,Digital first,6,19,On Task,0,NA,Physical,1
12533379,Digital first,7,20,On Task,0,NA,Physical,1
12533379,Digital first,8,21,Unintentional,1,0,Physical,3
12533379,Digital first,9,22,Unintentional,1,0,Physical,3
12533379,Digital first,10,23,On Task,0,NA,Physical,5
12533379,Digital first,11,24,On Task,0,NA,Physical,5
12533379,Digital first,12,25,On Task,0,NA,Physical,5
12533379,Digital first,13,26,On Task,0,NA,Physical,7
12533379,Digital first,14,27,Unintentional,1,0,Physical,7
12533361,Physical first,1,1,On Task,0,NA,Physical,1
12533361,Physical first,2,2,On Task,0,NA,Physical,1
12533361,Physical first,3,3,On Task,0,NA,Physical,1
12533361,Physical first,4,4,On Task,0,NA,Physical,1
12533361,Physical first,5,5,On Task,0,NA,Physical,1
12533361,Physical first,6,6,On Task,0,NA,Physical,1
12533361,Physical first,7,7,Unintentional,1,0,Physical,1
12533361,Physical first,8,8,On Task,0,NA,Physical,3
12533361,Physical first,9,9,On Task,0,NA,Physical,3
12533361,Physical first,10,10,Unintentional,1,0,Physical,5
12533361,Physical first,11,11,On Task,0,NA,Physical,5
12533361,Physical first,12,12,On Task,0,NA,Physical,5
12533361,Physical first,13,13,On Task,0,NA,Physical,7
12533361,Physical first,14,14,On Task,0,NA,Physical,7
12533361,Physical first,1,15,Unintentional,1,0,Digital,2
12533361,Physical first,2,16,Unintentional,1,0,Digital,2
12533361,Physical first,3,17,On Task,0,NA,Digital,4
12533361,Physical first,4,18,Unintentional,1,0,Digital,4
12533361,Physical first,5,19,On Task,0,NA,Digital,4
12533361,Physical first,6,20,On Task,0,NA,Digital,4
12533361,Physical first,7,21,On Task,0,NA,Digital,6
12533361,Physical first,8,22,Unintentional,1,0,Digital,6
12533361,Physical first,9,23,Unintentional,1,0,Digital,6
12533361,Physical first,10,24,Unintentional,1,0,Digital,6
12533361,Physical first,11,25,Unintentional,1,0,Digital,8
12533361,Physical first,12,26,On Task,0,NA,Digital,8
12533361,Physical first,13,27,Unintentional,1,0,Digital,8
12533364,Physical first,1,1,On Task,0,NA,Physical,1
12533364,Physical first,2,2,On Task,0,NA,Physical,1
12533364,Physical first,3,3,On Task,0,NA,Physical,1
12533364,Physical first,4,4,On Task,0,NA,Physical,1
12533364,Physical first,5,5,On Task,0,NA,Physical,1
12533364,Physical first,6,6,Unintentional,1,0,Physical,1
12533364,Physical first,7,7,On Task,0,NA,Physical,1
12533364,Physical first,8,8,Unintentional,1,0,Physical,3
12533364,Physical first,9,9,On Task,0,NA,Physical,3
12533364,Physical first,10,10,On Task,0,NA,Physical,5
12533364,Physical first,11,11,Unintentional,1,0,Physical,5
12533364,Physical first,12,12,On Task,0,NA,Physical,5
12533364,Physical first,13,13,On Task,0,NA,Physical,7
12533364,Physical first,14,14,On Task,0,NA,Physical,7
12533364,Physical first,1,15,Intentional,1,1,Digital,2
12533364,Physical first,2,16,On Task,0,NA,Digital,2
12533364,Physical first,3,17,On Task,0,NA,Digital,4
12533364,Physical first,4,18,Unintentional,1,0,Digital,4
12533364,Physical first,5,19,Unintentional,1,0,Digital,4
12533364,Physical first,6,20,On Task,0,NA,Digital,4
12533364,Physical first,7,21,On Task,0,NA,Digital,6
12533364,Physical first,8,22,On Task,0,NA,Digital,6
12533364,Physical first,9,23,Unintentional,1,0,Digital,6
