Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
2,1734909545129,22/12/2024 23:19:05,1734909545089,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,19
3,1734909545224,22/12/2024 23:19:05,1734909545091,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734909545224,22/12/2024 23:19:05,1734909545091,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734909545224,22/12/2024 23:19:05,1734909545091,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734909545224,22/12/2024 23:19:05,1734909545091,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734909545224,22/12/2024 23:19:05,1734909545091,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734909545224,22/12/2024 23:19:05,1734909545092,0,22/12/2024 23:19:05,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,8996
