Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,branch-dgjt
3,1753892676954,30/07/2025 16:24,1753896276954,1,30/07/2025 18:24,234742,9,questionnaire-k4b1,,48441761,BLINDED,13898927,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1264x742,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,12847,,,,,Voucher
1,1753893493308,30/07/2025 16:38,1753868293308,-7,30/07/2025 02:38,234742,9,questionnaire-k4b1,,48442303,BLINDED,13898999,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1525x858,1525x718,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753893521533,30/07/2025 16:38,1753868321533,-7,30/07/2025 02:38,234742,9,questionnaire-k4b1,,48442303,BLINDED,13898999,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1525x858,1525x718,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,28206,,,,,Voucher
1,1753895838085,30/07/2025 17:17,1753899438085,1,30/07/2025 19:17,234742,9,questionnaire-k4b1,,48443757,BLINDED,13899297,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x945,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753895841895,30/07/2025 17:17,1753899441895,1,30/07/2025 19:17,234742,9,questionnaire-k4b1,,48443757,BLINDED,13899297,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x945,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,3800,,,,,Voucher
1,1753896120207,30/07/2025 17:22,1753899720207,1,30/07/2025 19:22,234742,9,questionnaire-k4b1,,48443903,BLINDED,13899320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 137.0.0.0,3840x2160,1366x599,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753896124238,30/07/2025 17:22,1753899724238,1,30/07/2025 19:22,234742,9,questionnaire-k4b1,,48443903,BLINDED,13899320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 137.0.0.0,3840x2160,1366x599,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,4011,,,,,Voucher
1,1753898393966,30/07/2025 17:59,1753901993966,1,30/07/2025 19:59,234742,9,questionnaire-k4b1,,48445028,BLINDED,13899490,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1536x736,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753898401465,30/07/2025 18:00,1753902001465,1,30/07/2025 20:00,234742,9,questionnaire-k4b1,,48445028,BLINDED,13899490,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1536x736,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,7494,,,,,Voucher
1,1753899338885,30/07/2025 18:15,1753902938885,1,30/07/2025 20:15,234742,9,questionnaire-k4b1,,48445366,BLINDED,13899548,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 130.0.0.0,393x873,1089x1895,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753899344695,30/07/2025 18:15,1753902944695,1,30/07/2025 20:15,234742,9,questionnaire-k4b1,,48445366,BLINDED,13899548,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 130.0.0.0,393x873,1089x1895,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,5746,,,,,Voucher
1,1753914239651,30/07/2025 22:23,1753889039651,-7,30/07/2025 08:23,234742,9,questionnaire-k4b1,,48449570,BLINDED,13900380,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1366x768,1366x641,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753914244995,30/07/2025 22:24,1753889044995,-7,30/07/2025 08:24,234742,9,questionnaire-k4b1,,48449570,BLINDED,13900380,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1366x768,1366x641,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,5319,,,,,Voucher
1,1753959783391,31/07/2025 11:03,1753963383391,1,31/07/2025 13:03,234742,9,questionnaire-k4b1,,48458347,BLINDED,13902549,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,1440x900,1440x820,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753959787264,31/07/2025 11:03,1753963387264,1,31/07/2025 13:03,234742,9,questionnaire-k4b1,,48458347,BLINDED,13902549,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,1440x900,1440x820,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,3863,,,,,Voucher
