Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
173,1753200268429,22/07/2025 16:04,1753203868429,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,46,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,4,space,15,15,170,Eligible,Voucher
174,1753200268580,22/07/2025 16:04,1753203868580,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,46,trial,mask,y6xgix,2,response,space,151,149,151,151,149,151,1,0,0,space,Keyboard Response,response,3,object-75,trial,,4,space,15,15,170,Eligible,Voucher
175,1753200269529,22/07/2025 16:04,1753203869529,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,47,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,5,space,15,15,150,Eligible,Voucher
176,1753200269694,22/07/2025 16:04,1753203869694,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,47,trial,mask,y6xgix,2,response,space,165,150,165,165,150,165,1,0,0,space,Keyboard Response,response,3,object-75,trial,,5,space,15,15,150,Eligible,Voucher
177,1753200270629,22/07/2025 16:04,1753203870629,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,48,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,8,space,15,15,130,Eligible,Voucher
178,1753200270803,22/07/2025 16:04,1753203870803,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,48,trial,mask,y6xgix,2,response,space,174,167,174,174,167,174,1,0,0,space,Keyboard Response,response,3,object-75,trial,,8,space,15,15,130,Eligible,Voucher
179,1753200271729,22/07/2025 16:04,1753203871729,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,49,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,7,space,15,15,170,Eligible,Voucher
180,1753200271895,22/07/2025 16:04,1753203871895,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,49,trial,mask,y6xgix,2,response,space,165,149,165,165,149,165,1,0,0,space,Keyboard Response,response,3,object-75,trial,,7,space,15,15,170,Eligible,Voucher
181,1753200272829,22/07/2025 16:04,1753203872829,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,50,trial,digit,9l7l5c,1,timedOut,,199,199,199,199,199,199,1,0,0,,Time Limit,screen,0,screen,trial,,2,space,15,15,140,Eligible,Voucher
182,1753200273043,22/07/2025 16:04,1753203873043,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,50,trial,mask,y6xgix,2,response,space,214.0000000000291,201,214.0000000000291,214.0000000000291,201,214.0000000000291,1,0,0,space,Keyboard Response,response,3,object-75,trial,,2,space,15,15,140,Eligible,Voucher
