Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
231,1753200909967,22/07/2025 16:15,1753204509967,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,70,trial,mask,y6xgix,2,response,space,192,183,192,192,183,192,1,0,0,space,Keyboard Response,response,3,object-75,trial,,5,space,7,7,170,Eligible,Voucher
232,1753200910730,22/07/2025 16:15,1753204510730,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,71,trial,digit,9l7l5c,1,response,noresponse,56,50,56,56,50,56,1,0,0,space,Keyboard Response,response,3,object-176,trial,,3,noresponse,7,,130,Eligible,Voucher
233,1753200911775,22/07/2025 16:15,1753204511775,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,71,trial,mask,y6xgix,2,response,noresponse,900,900,900,900,900,900,1,0,0,,Time Limit,screen,0,screen,trial,,3,noresponse,7,,130,Eligible,Voucher
234,1753200911975,22/07/2025 16:15,1753204511975,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,72,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,6,space,7,7,150,Eligible,Voucher
235,1753200912085,22/07/2025 16:15,1753204512085,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,72,trial,mask,y6xgix,2,response,space,110,100,110,110,100,110,1,0,0,space,Keyboard Response,response,3,object-75,trial,,6,space,7,7,150,Eligible,Voucher
236,1753200914090,22/07/2025 16:15,1753204514090,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,probe,screen1,zdzjkm,1,response,,1215.000000000029,1200,1215.000000000029,1215.000000000029,1200,1215.000000000029,1,0,0,on task,Click Response,resp_onTask,2,object-133,probe,,,,,,,Eligible,Voucher
237,1753200919075,22/07/2025 16:15,1753204519075,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,probe,ready,gcqbye,2,timedOut,,5000,5000,5000,5000,5000,5000,1,0,0,,Time Limit,screen,0,screen,probe,,,,,,,Eligible,Voucher
238,1753200919275,22/07/2025 16:15,1753204519275,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,73,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,1,space,6,6,130,Eligible,Voucher
239,1753200919816,22/07/2025 16:15,1753204519816,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,73,trial,mask,y6xgix,2,response,space,541.0000000000291,533,541.0000000000291,541.0000000000291,533,541.0000000000291,1,0,0,space,Keyboard Response,response,3,object-75,trial,,1,space,6,6,130,Eligible,Voucher
240,1753200920375,22/07/2025 16:15,1753204520375,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,74,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,4,space,6,6,120,Eligible,Voucher
241,1753200920728,22/07/2025 16:15,1753204520728,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,74,trial,mask,y6xgix,2,response,space,353,349,353,353,349,353,1,0,0,space,Keyboard Response,response,3,object-75,trial,,4,space,6,6,120,Eligible,Voucher
242,1753200921475,22/07/2025 16:15,1753204521475,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,75,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,6,space,6,6,110,Eligible,Voucher
243,1753200921673,22/07/2025 16:15,1753204521673,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,75,trial,mask,y6xgix,2,response,space,198,183,198,198,183,198,1,0,0,space,Keyboard Response,response,3,object-75,trial,,6,space,6,6,110,Eligible,Voucher
244,1753200922575,22/07/2025 16:15,1753204522575,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,76,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,5,space,6,6,140,Eligible,Voucher
245,1753200923247,22/07/2025 16:15,1753204523247,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,76,trial,mask,y6xgix,2,response,space,672,667,672,672,667,672,1,0,0,space,Keyboard Response,response,3,object-75,trial,,5,space,6,6,140,Eligible,Voucher
246,1753200923675,22/07/2025 16:15,1753204523675,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,77,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,2,space,6,6,100,Eligible,Voucher
247,1753200924575,22/07/2025 16:15,1753204524575,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,77,trial,mask,y6xgix,2,response,noresponse,900,900,900,900,900,900,1,0,0,,Time Limit,screen,0,screen,trial,,2,space,6,6,100,Eligible,Voucher
248,1753200924775,22/07/2025 16:15,1753204524775,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,78,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,9,space,6,6,100,Eligible,Voucher
