Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
2,1721918892580,25/07/2024 14:48:12,1721918892417,1,25/07/2024 15:48:12,179131,14,questionnaire-32sr,,39202396,BLIND,11500002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x911,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,6325
1,1721978745402,26/07/2024 07:25:45,1721978757971,1,26/07/2024 08:25:57,179131,14,questionnaire-32sr,,39211532,BLIND,11502755,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1232x572,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721978886776,26/07/2024 07:28:06,1721978899387,1,26/07/2024 08:28:19,179131,14,questionnaire-32sr,,39211532,BLIND,11502755,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x572,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,141416
1,1721999685684,26/07/2024 13:14:45,1721999685596,1,26/07/2024 14:14:45,179131,14,questionnaire-32sr,,39217380,BLIND,11504654,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1710x1107,1618x873,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721999883411,26/07/2024 13:18:03,1721999883235,1,26/07/2024 14:18:03,179131,14,questionnaire-32sr,,39217380,BLIND,11504654,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1710x1107,1618x873,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,197640
1,1722085668190,27/07/2024 13:07:48,1722085667927,1,27/07/2024 14:07:47,179131,14,questionnaire-32sr,,39234367,BLIND,11507917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,2048x1152,1747x1038,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722085735626,27/07/2024 13:08:55,1722085735424,1,27/07/2024 14:08:55,179131,14,questionnaire-32sr,,39234367,BLIND,11507917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,2048x1152,1732x1038,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,67497
1,1722196042199,28/07/2024 19:47:22,1722196043827,1,28/07/2024 20:47:23,179131,14,questionnaire-32sr,,39245835,BLIND,11510574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x750,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722196073261,28/07/2024 19:47:53,1722196074936,1,28/07/2024 20:47:54,179131,14,questionnaire-32sr,,39245835,BLIND,11510574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1513x750,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,31109
1,1722199737946,28/07/2024 20:48:57,1722199732888,1,28/07/2024 21:48:52,179131,14,questionnaire-32sr,,39246364,BLIND,11510688,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1368x912,1368x761,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722200002800,28/07/2024 20:53:22,1722200001168,1,28/07/2024 21:53:21,179131,14,questionnaire-32sr,,39246364,BLIND,11510688,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1368x912,1351x761,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,268281
1,1722323814326,30/07/2024 07:16:54,1722323815318,1,30/07/2024 08:16:55,179131,14,questionnaire-32sr,,39271413,BLIND,11517134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1488x714,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722323911780,30/07/2024 07:18:31,1722323912676,1,30/07/2024 08:18:32,179131,14,questionnaire-32sr,,39271413,BLIND,11517134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1473x714,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,97359
END OF FILE
