Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
2,1720195448580,05/07/2024 16:04:08,1720195447350,1,05/07/2024 17:04:07,179131,14,questionnaire-qazy,,38777094,BLIND,11378346,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x598,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,4292
1,1720005793008,03/07/2024 11:23:13,1720005792928,1,03/07/2024 12:23:12,179131,14,questionnaire-qazy,,38723387,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1232x876,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720005795617,03/07/2024 11:23:15,1720005795589,1,03/07/2024 12:23:15,179131,14,questionnaire-qazy,,38723387,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,2661
1,1719919062619,02/07/2024 11:17:42,1719919062616,1,02/07/2024 12:17:42,179131,14,questionnaire-qazy,,38674176,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1719919064688,02/07/2024 11:17:44,1719919064744,1,02/07/2024 12:17:44,179131,14,questionnaire-qazy,,38674176,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,2128
1,1721140389548,16/07/2024 14:33:09,1721140389829,1,16/07/2024 15:33:09,179131,14,questionnaire-qazy,,39006738,BLIND,11436876,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1232x572,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721140407388,16/07/2024 14:33:27,1721140407696,1,16/07/2024 15:33:27,179131,14,questionnaire-qazy,,39006738,BLIND,11436876,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x572,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,17867
1,1722090544665,27/07/2024 14:29:04,1722090543685,1,27/07/2024 15:29:03,179131,14,questionnaire-qazy,,39235025,BLIND,11507917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,2048x1152,1747x1038,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722090610559,27/07/2024 14:30:10,1722090609599,1,27/07/2024 15:30:09,179131,14,questionnaire-qazy,,39235025,BLIND,11507917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,2048x1152,1732x1038,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,65914
1,1722002870595,26/07/2024 14:07:50,1722002870494,1,26/07/2024 15:07:50,179131,14,questionnaire-qazy,,39218319,BLIND,11504654,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1710x1107,1618x873,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722002900271,26/07/2024 14:08:20,1722002900205,1,26/07/2024 15:08:20,179131,14,questionnaire-qazy,,39218319,BLIND,11504654,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1710x1107,1618x873,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,29711
1,1721921641427,25/07/2024 15:34:01,1721921641316,1,25/07/2024 16:34:01,179131,14,questionnaire-qazy,,39203606,BLIND,11499809,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x800,1232x652,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721921688196,25/07/2024 15:34:48,1721921688130,1,25/07/2024 16:34:48,179131,14,questionnaire-qazy,,39203606,BLIND,11499809,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x800,1217x652,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,46814
1,1720127507672,04/07/2024 21:11:47,1720127506917,1,04/07/2024 22:11:46,179131,14,questionnaire-qazy,,38761571,BLIND,11374756,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1280x720,1280x569,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720127516357,04/07/2024 21:11:56,1720127515652,1,04/07/2024 22:11:55,179131,14,questionnaire-qazy,,38761571,BLIND,11374756,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1280x720,1280x569,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,8736
1,1720182966402,05/07/2024 12:36:06,1720182966352,1,05/07/2024 13:36:06,179131,14,questionnaire-qazy,,38770909,BLIND,11376874,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720182968339,05/07/2024 12:36:08,1720182968305,1,05/07/2024 13:36:08,179131,14,questionnaire-qazy,,38770909,BLIND,11376874,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x919,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,1953
END OF FILE
