Participant Private ID,Tree Node Key,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Tag,Reaction Time,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: size,randomiser-mq2e
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,tune out,38642,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,tune out,3430,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,space out,3814,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,space out,1797,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5000.000000000029,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,space out,1697,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,zone out,3013,NA,NA,NA,probe_selfreport
13863726,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,probe_selfreport
