Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,branch-dgjt,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
3,1753354034352,24/07/2025 10:47,1753357634352,1,24/07/2025 12:47,234742,9,questionnaire-nimi,,48284200,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,25457,,,,
1,1753432995702,25/07/2025 08:43,1753436595702,1,25/07/2025 10:43,234742,9,questionnaire-nimi,,48303447,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753433002391,25/07/2025 08:43,1753436602391,1,25/07/2025 10:43,234742,9,questionnaire-nimi,,48303447,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,6672,,,,
1,1753455616445,25/07/2025 15:00,1753459216445,1,25/07/2025 17:00,234742,9,questionnaire-nimi,,48314474,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753455629772,25/07/2025 15:00,1753459229772,1,25/07/2025 17:00,234742,9,questionnaire-nimi,,48314474,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,13314,,,,
1,1753475688332,25/07/2025 20:34,1753479288332,1,25/07/2025 22:34,234742,9,questionnaire-nimi,,48318487,BLINDED,13876896,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1440x837,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753475701147,25/07/2025 20:35,1753479301147,1,25/07/2025 22:35,234742,9,questionnaire-nimi,,48318487,BLINDED,13876896,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1440x837,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,12807,,,,
1,1753549999944,26/07/2025 17:13,1753553599944,1,26/07/2025 19:13,234742,9,questionnaire-nimi,,48326735,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753550008942,26/07/2025 17:13,1753553608942,1,26/07/2025 19:13,234742,9,questionnaire-nimi,,48326735,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,8965,,,,
1,1753627997706,27/07/2025 14:53,1753631597706,1,27/07/2025 16:53,234742,9,questionnaire-nimi,,48335888,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
