Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
37,1738238600727,30/01/2025 12:03:20,1738238600727,0,30/01/2025 12:03:20,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,23,block,item,iz4mgl,1,response,48,11617,12617,12622,11617,12617,12622,1,11617,1005,0,,Single Number Entry,response,2,object-109,block,,,1,,19,6 x 8,0,Easy,1,1,48,
38,1738238603391,30/01/2025 12:03:23,1738238603391,0,30/01/2025 12:03:23,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,24,block,item,iz4mgl,1,response,42,2034,2667,2670,2034,2667,2670,1,2034,636,0,,Single Number Entry,response,2,object-109,block,,,1,,20,6 x 7,0,Easy,1,1,42,
39,1738238606042,30/01/2025 12:03:26,1738238606042,0,30/01/2025 12:03:26,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,25,block,item,iz4mgl,1,response,54,1783,2650,2654,1783,2650,2654,1,1783,871,0,,Single Number Entry,response,2,object-109,block,,,1,,21,9 x 6,0,Easy,1,1,54,
40,1738238607524,30/01/2025 12:03:27,1738238607524,0,30/01/2025 12:03:27,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,3,probe,thought_probe,muxvwp,1,response,On Task,1486,1482,1486,1486,1482,1486,1,1486,0,0,,Click Response,On Task,2,object-81,probe,,,1,,,,,,1,1,,
41,1738238610224,30/01/2025 12:03:30,1738238610224,0,30/01/2025 12:03:30,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,26,block,item,iz4mgl,1,response,12,2084,2701,2705,2084,2701,2705,1,2084,621,0,,Single Number Entry,response,2,object-109,block,,,1,,22,3 x 4,0,Easy,1,1,12,
42,1738238612908,30/01/2025 12:03:32,1738238612908,0,30/01/2025 12:03:32,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,27,block,item,iz4mgl,1,response,24,1817,2683,2688,1817,2683,2688,1,1817,871,0,,Single Number Entry,response,2,object-109,block,,,1,,23,6 x 4,0,Easy,1,1,24,
43,1738238615676,30/01/2025 12:03:35,1738238615676,0,30/01/2025 12:03:35,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,28,block,item,iz4mgl,1,response,2,2334,2767,2773,2334,2767,2773,1,2334,439,0,,Single Number Entry,response,2,object-109,block,,,1,,24,16 ÷ 8,0,Easy,1,1,2,
44,1738238617874,30/01/2025 12:03:37,1738238617874,0,30/01/2025 12:03:37,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,29,block,item,iz4mgl,1,response,3,1767,2200,2204,1767,2200,2204,1,1767,437,0,,Single Number Entry,response,2,object-109,block,,,1,,25,27 ÷ 9,0,Easy,1,1,3,
45,1738238620091,30/01/2025 12:03:40,1738238620091,0,30/01/2025 12:03:40,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,30,block,item,iz4mgl,1,response,8,1733,2217,2221.000000000058,1733,2217,2221.000000000058,1,1733,488.0000000000582,0,,Single Number Entry,response,2,object-109,block,,,1,,26,56 ÷ 7,0,Easy,1,1,8,
46,1738238622375,30/01/2025 12:03:42,1738238622375,0,30/01/2025 12:03:42,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,31,block,item,iz4mgl,1,response,5,1733,2283,2288,1733,2283,2288,1,1733,555,0,,Single Number Entry,response,2,object-109,block,,,1,,27,30 ÷ 6,0,Easy,1,1,5,
