Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738609156422,03/02/2025 18:59:16,1738609156304,0,03/02/2025 18:59:16,209080,4,questionnaire-twip,,43018151,BLIND,12537739,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1280x800,1190x691,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738609158727,03/02/2025 18:59:18,1738609158628,0,03/02/2025 18:59:18,209080,4,questionnaire-twip,,43018151,BLIND,12537739,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1280x800,1190x691,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,2324
1,1738603970578,03/02/2025 17:32:50,1738603972258,0,03/02/2025 17:32:52,209080,4,questionnaire-twip,,43014686,BLIND,12536940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1664x1110,1656x984,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738603978607,03/02/2025 17:32:58,1738603980310,0,03/02/2025 17:33:00,209080,4,questionnaire-twip,,43014686,BLIND,12536940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1664x1110,1641x984,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,8052
1,1738592731201,03/02/2025 14:25:31,1738592731425,0,03/02/2025 14:25:31,209080,4,questionnaire-twip,,43005548,BLIND,12533623,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x641,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738592737768,03/02/2025 14:25:37,1738592738013,0,03/02/2025 14:25:38,209080,4,questionnaire-twip,,43005548,BLIND,12533623,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1349x641,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,6589
1,1738590128874,03/02/2025 13:42:08,1738590128784,0,03/02/2025 13:42:08,209080,4,questionnaire-twip,,43003630,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738590172712,03/02/2025 13:42:52,1738590172684,0,03/02/2025 13:42:52,209080,4,questionnaire-twip,,43003630,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,43900
1,1738586179735,03/02/2025 12:36:19,1738586179665,0,03/02/2025 12:36:19,209080,4,questionnaire-twip,,43000591,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738586182530,03/02/2025 12:36:22,1738586182493,0,03/02/2025 12:36:22,209080,4,questionnaire-twip,,43000591,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,2828
1,1738318513752,31/01/2025 10:15:13,1738318513760,0,31/01/2025 10:15:13,209080,4,questionnaire-twip,,42927881,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738318526308,31/01/2025 10:15:26,1738318526417,0,31/01/2025 10:15:26,209080,4,questionnaire-twip,,42927881,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,12657
1,1738239584595,30/01/2025 12:19:44,1738239584442,0,30/01/2025 12:19:44,209080,4,questionnaire-twip,,42892415,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738239658494,30/01/2025 12:20:58,1738239658241,0,30/01/2025 12:20:58,209080,4,questionnaire-twip,,42892415,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,73799
1,1738169884916,29/01/2025 16:58:04,1738169884757,0,29/01/2025 16:58:04,209080,4,questionnaire-twip,,42843232,BLIND,12493669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,820x1180,1180x713,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738169888908,29/01/2025 16:58:08,1738169888838,0,29/01/2025 16:58:08,209080,4,questionnaire-twip,,42843232,BLIND,12493669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,820x1180,1180x713,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,4081
END OF FILE
